# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
5.3400E-01    2.8848E-03    2.8836E-03    2.8863E-03    2.8870E-03    2.8651E-03
5.3613E-01    2.8851E-03    2.8838E-03    2.8865E-03    2.8872E-03    2.8653E-03
5.3828E-01    2.8856E-03    2.8843E-03    2.8870E-03    2.8877E-03    2.8656E-03
5.4043E-01    2.8867E-03    2.8853E-03    2.8881E-03    2.8887E-03    2.8663E-03
5.4259E-01    2.8871E-03    2.8857E-03    2.8885E-03    2.8890E-03    2.8665E-03
5.4476E-01    2.8864E-03    2.8850E-03    2.8877E-03    2.8883E-03    2.8661E-03
5.4694E-01    2.8859E-03    2.8845E-03    2.8872E-03    2.8878E-03    2.8658E-03
5.4912E-01    2.8850E-03    2.8837E-03    2.8864E-03    2.8870E-03    2.8653E-03
5.5132E-01    2.8836E-03    2.8824E-03    2.8850E-03    2.8856E-03    2.8645E-03
5.5353E-01    2.8827E-03    2.8815E-03    2.8840E-03    2.8847E-03    2.8639E-03
5.5574E-01    2.8822E-03    2.8810E-03    2.8835E-03    2.8842E-03    2.8636E-03
5.5796E-01    2.8819E-03    2.8807E-03    2.8832E-03    2.8839E-03    2.8634E-03
5.6019E-01    2.8822E-03    2.8810E-03    2.8835E-03    2.8842E-03    2.8636E-03
5.6243E-01    2.8821E-03    2.8809E-03    2.8834E-03    2.8841E-03    2.8636E-03
5.6468E-01    2.8818E-03    2.8806E-03    2.8831E-03    2.8837E-03    2.8634E-03
5.6694E-01    2.8829E-03    2.8816E-03    2.8842E-03    2.8848E-03    2.8641E-03
5.6921E-01    2.8869E-03    2.8854E-03    2.8881E-03    2.8886E-03    2.8665E-03
5.7148E-01    2.8836E-03    2.8823E-03    2.8849E-03    2.8855E-03    2.8645E-03
5.7377E-01    2.8837E-03    2.8824E-03    2.8850E-03    2.8855E-03    2.8646E-03
5.7606E-01    2.8835E-03    2.8822E-03    2.8848E-03    2.8853E-03    2.8645E-03
5.7836E-01    2.8834E-03    2.8822E-03    2.8847E-03    2.8852E-03    2.8644E-03
5.8068E-01    2.8824E-03    2.8812E-03    2.8837E-03    2.8843E-03    2.8639E-03
5.8300E-01    2.8828E-03    2.8815E-03    2.8840E-03    2.8845E-03    2.8641E-03
5.8533E-01    2.8817E-03    2.8805E-03    2.8830E-03    2.8835E-03    2.8635E-03
5.8767E-01    2.8876E-03    2.8861E-03    2.8888E-03    2.8892E-03    2.8671E-03
5.9002E-01    2.8924E-03    2.8907E-03    2.8937E-03    2.8939E-03    2.8699E-03
5.9238E-01    2.8901E-03    2.8885E-03    2.8913E-03    2.8916E-03    2.8685E-03
5.9475E-01    2.8889E-03    2.8873E-03    2.8901E-03    2.8904E-03    2.8678E-03
5.9713E-01    2.8877E-03    2.8862E-03    2.8889E-03    2.8892E-03    2.8671E-03
5.9952E-01    2.8855E-03    2.8841E-03    2.8867E-03    2.8871E-03    2.8658E-03
6.0191E-01    2.8824E-03    2.8812E-03    2.8836E-03    2.8841E-03    2.8639E-03
6.0432E-01    2.8794E-03    2.8783E-03    2.8806E-03    2.8812E-03    2.8621E-03
6.0674E-01    2.8777E-03    2.8766E-03    2.8789E-03    2.8795E-03    2.8611E-03
6.0916E-01    2.8763E-03    2.8753E-03    2.8776E-03    2.8782E-03    2.8603E-03
6.1160E-01    2.8759E-03    2.8749E-03    2.8771E-03    2.8778E-03    2.8600E-03
6.1404E-01    2.8756E-03    2.8746E-03    2.8768E-03    2.8775E-03    2.8599E-03
6.1650E-01    2.8753E-03    2.8743E-03    2.8765E-03    2.8772E-03    2.8597E-03
6.1896E-01    2.8751E-03    2.8741E-03    2.8763E-03    2.8770E-03    2.8596E-03
6.2144E-01    2.8755E-03    2.8745E-03    2.8766E-03    2.8773E-03    2.8598E-03
6.2392E-01    2.8753E-03    2.8743E-03    2.8765E-03    2.8772E-03    2.8597E-03
6.2642E-01    2.8777E-03    2.8766E-03    2.8789E-03    2.8794E-03    2.8612E-03
6.2892E-01    2.8783E-03    2.8771E-03    2.8794E-03    2.8799E-03    2.8615E-03
6.3144E-01    2.8767E-03    2.8757E-03    2.8779E-03    2.8784E-03    2.8606E-03
6.3396E-01    2.8787E-03    2.8776E-03    2.8799E-03    2.8803E-03    2.8618E-03
6.3650E-01    2.8783E-03    2.8772E-03    2.8794E-03    2.8799E-03    2.8615E-03
6.3904E-01    2.8796E-03    2.8785E-03    2.8808E-03    2.8812E-03    2.8624E-03
6.4160E-01    2.8786E-03    2.8775E-03    2.8798E-03    2.8802E-03    2.8617E-03
6.4416E-01    2.8801E-03    2.8789E-03    2.8812E-03    2.8816E-03    2.8626E-03
6.4674E-01    2.8839E-03    2.8826E-03    2.8850E-03    2.8853E-03    2.8650E-03
6.4933E-01    2.8870E-03    2.8855E-03    2.8881E-03    2.8883E-03    2.8668E-03
6.5192E-01    2.8844E-03    2.8830E-03    2.8855E-03    2.8858E-03    2.8652E-03
6.5453E-01    2.8841E-03    2.8827E-03    2.8852E-03    2.8855E-03    2.8651E-03
6.5715E-01    2.8813E-03    2.8800E-03    2.8824E-03    2.8827E-03    2.8634E-03
6.5977E-01    2.8788E-03    2.8776E-03    2.8799E-03    2.8802E-03    2.8619E-03
6.6241E-01    2.8752E-03    2.8742E-03    2.8763E-03    2.8768E-03    2.8598E-03
6.6506E-01    2.8741E-03    2.8731E-03    2.8752E-03    2.8757E-03    2.8590E-03
6.6772E-01    2.8722E-03    2.8713E-03    2.8733E-03    2.8739E-03    2.8580E-03
6.7039E-01    2.8707E-03    2.8699E-03    2.8718E-03    2.8724E-03    2.8571E-03
6.7307E-01    2.8704E-03    2.8695E-03    2.8714E-03    2.8721E-03    2.8569E-03
6.7576E-01    2.8703E-03    2.8695E-03    2.8714E-03    2.8720E-03    2.8569E-03
6.7847E-01    2.8709E-03    2.8701E-03    2.8720E-03    2.8726E-03    2.8572E-03
6.8118E-01    2.8733E-03    2.8724E-03    2.8744E-03    2.8749E-03    2.8586E-03
6.8390E-01    2.8754E-03    2.8743E-03    2.8764E-03    2.8769E-03    2.8599E-03
6.8664E-01    2.8746E-03    2.8736E-03    2.8756E-03    2.8761E-03    2.8594E-03
6.8938E-01    2.8725E-03    2.8716E-03    2.8735E-03    2.8740E-03    2.8582E-03
6.9214E-01    2.8823E-03    2.8809E-03    2.8833E-03    2.8835E-03    2.8641E-03
6.9491E-01    2.8886E-03    2.8871E-03    2.8897E-03    2.8898E-03    2.8679E-03
6.9769E-01    2.8826E-03    2.8812E-03    2.8836E-03    2.8838E-03    2.8642E-03
7.0047E-01    2.8864E-03    2.8849E-03    2.8875E-03    2.8876E-03    2.8665E-03
7.0328E-01    2.8849E-03    2.8835E-03    2.8860E-03    2.8861E-03    2.8657E-03
7.0609E-01    2.8870E-03    2.8855E-03    2.8881E-03    2.8882E-03    2.8669E-03
7.0891E-01    2.8805E-03    2.8792E-03    2.8815E-03    2.8817E-03    2.8631E-03
7.1175E-01    2.8807E-03    2.8794E-03    2.8817E-03    2.8819E-03    2.8632E-03
7.1459E-01    2.8847E-03    2.8833E-03    2.8858E-03    2.8859E-03    2.8656E-03
7.1745E-01    2.8944E-03    2.8926E-03    2.8956E-03    2.8956E-03    2.8714E-03
7.2032E-01    2.8971E-03    2.8952E-03    2.8984E-03    2.8984E-03    2.8728E-03
7.2320E-01    2.8932E-03    2.8915E-03    2.8944E-03    2.8944E-03    2.8707E-03
7.2609E-01    2.8962E-03    2.8944E-03    2.8974E-03    2.8974E-03    2.8723E-03
7.2899E-01    2.8981E-03    2.8962E-03    2.8994E-03    2.8994E-03    2.8734E-03
7.3191E-01    2.8904E-03    2.8888E-03    2.8915E-03    2.8915E-03    2.8691E-03
7.3484E-01    2.8860E-03    2.8845E-03    2.8870E-03    2.8871E-03    2.8664E-03
7.3777E-01    2.8863E-03    2.8848E-03    2.8874E-03    2.8874E-03    2.8666E-03
7.4072E-01    2.8808E-03    2.8795E-03    2.8818E-03    2.8820E-03    2.8632E-03
7.4369E-01    2.8747E-03    2.8736E-03    2.8756E-03    2.8759E-03    2.8596E-03
7.4666E-01    2.8735E-03    2.8725E-03    2.8756E-03    2.8770E-03    2.8609E-03
7.4965E-01    2.8698E-03    2.8690E-03    2.8727E-03    2.8750E-03    2.8601E-03
7.5264E-01    2.8683E-03    2.8677E-03    2.8720E-03    2.8749E-03    2.8604E-03
7.5565E-01    2.8662E-03    2.8657E-03    2.8706E-03    2.8743E-03    2.8603E-03
7.5867E-01    2.8677E-03    2.8672E-03    2.8729E-03    2.8770E-03    2.8621E-03
7.6171E-01    2.8662E-03    2.8659E-03    2.8732E-03    2.8784E-03    2.8634E-03
7.6475E-01    2.8672E-03    2.8671E-03    2.8765E-03    2.8829E-03    2.8663E-03
7.6781E-01    2.8678E-03    2.8678E-03    2.8782E-03    2.8850E-03    2.8677E-03
7.7088E-01    2.8692E-03    2.8693E-03    2.8821E-03    2.8899E-03    2.8707E-03
7.7396E-01    2.8720E-03    2.8723E-03    2.8865E-03    2.8946E-03    2.8733E-03
7.7706E-01    2.8749E-03    2.8753E-03    2.8912E-03    2.9000E-03    2.8763E-03
7.8017E-01    2.8787E-03    2.8792E-03    2.8967E-03    2.9057E-03    2.8793E-03
7.8329E-01    2.8821E-03    2.8823E-03    2.8985E-03    2.9069E-03    2.8799E-03
7.8642E-01    2.8843E-03    2.8843E-03    2.8995E-03    2.9076E-03    2.8802E-03
7.8956E-01    2.8863E-03    2.8860E-03    2.9002E-03    2.9081E-03    2.8805E-03
7.9272E-01    2.8873E-03    2.8870E-03    2.9015E-03    2.9092E-03    2.8809E-03
7.9589E-01    2.8876E-03    2.8871E-03    2.9011E-03    2.9089E-03    2.8809E-03
7.9907E-01    2.8887E-03    2.8881E-03    2.9013E-03    2.9087E-03    2.8806E-03
8.0227E-01    2.8879E-03    2.8870E-03    2.8977E-03    2.9040E-03    2.8781E-03
8.0548E-01    2.8832E-03    2.8825E-03    2.8924E-03    2.8984E-03    2.8750E-03
8.0870E-01    2.8887E-03    2.8875E-03    2.8949E-03    2.8991E-03    2.8748E-03
8.1193E-01    2.8894E-03    2.8881E-03    2.8946E-03    2.8981E-03    2.8740E-03
8.1518E-01    2.8934E-03    2.8918E-03    2.8959E-03    2.8972E-03    2.8730E-03
8.1844E-01    2.8927E-03    2.8911E-03    2.8947E-03    2.8957E-03    2.8720E-03
8.2171E-01    2.8924E-03    2.8907E-03    2.8943E-03    2.8951E-03    2.8715E-03
8.2500E-01    2.8893E-03    2.8877E-03    2.8908E-03    2.8913E-03    2.8692E-03
8.2829E-01    2.8898E-03    2.8883E-03    2.8913E-03    2.8917E-03    2.8695E-03
8.3161E-01    2.8888E-03    2.8873E-03    2.8908E-03    2.8917E-03    2.8697E-03
8.3493E-01    2.8865E-03    2.8853E-03    2.8926E-03    2.8966E-03    2.8734E-03
8.3827E-01    2.8884E-03    2.8876E-03    2.8990E-03    2.9049E-03    2.8783E-03
8.4162E-01    2.8863E-03    2.8857E-03    2.8973E-03    2.9038E-03    2.8778E-03
8.4499E-01    2.8817E-03    2.8814E-03    2.8948E-03    2.9024E-03    2.8774E-03
8.4837E-01    2.8785E-03    2.8783E-03    2.8908E-03    2.8979E-03    2.8749E-03
