# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
6.1896E-01    2.8751E-03    2.8741E-03    2.8763E-03    2.8770E-03    2.8596E-03
6.2144E-01    2.8755E-03    2.8745E-03    2.8766E-03    2.8773E-03    2.8598E-03
6.2392E-01    2.8753E-03    2.8743E-03    2.8765E-03    2.8772E-03    2.8597E-03
6.2642E-01    2.8777E-03    2.8766E-03    2.8789E-03    2.8794E-03    2.8612E-03
6.2892E-01    2.8783E-03    2.8771E-03    2.8794E-03    2.8799E-03    2.8615E-03
6.3144E-01    2.8767E-03    2.8757E-03    2.8779E-03    2.8784E-03    2.8606E-03
6.3396E-01    2.8787E-03    2.8776E-03    2.8799E-03    2.8803E-03    2.8618E-03
6.3650E-01    2.8783E-03    2.8772E-03    2.8794E-03    2.8799E-03    2.8615E-03
6.3904E-01    2.8796E-03    2.8785E-03    2.8808E-03    2.8812E-03    2.8624E-03
6.4160E-01    2.8786E-03    2.8775E-03    2.8798E-03    2.8802E-03    2.8617E-03
6.4416E-01    2.8801E-03    2.8789E-03    2.8812E-03    2.8816E-03    2.8626E-03
6.4674E-01    2.8839E-03    2.8826E-03    2.8850E-03    2.8853E-03    2.8650E-03
6.4933E-01    2.8870E-03    2.8855E-03    2.8881E-03    2.8883E-03    2.8668E-03
6.5192E-01    2.8844E-03    2.8830E-03    2.8855E-03    2.8858E-03    2.8652E-03
6.5453E-01    2.8841E-03    2.8827E-03    2.8852E-03    2.8855E-03    2.8651E-03
6.5715E-01    2.8813E-03    2.8800E-03    2.8824E-03    2.8827E-03    2.8634E-03
6.5977E-01    2.8788E-03    2.8776E-03    2.8799E-03    2.8802E-03    2.8619E-03
6.6241E-01    2.8752E-03    2.8742E-03    2.8763E-03    2.8768E-03    2.8598E-03
6.6506E-01    2.8741E-03    2.8731E-03    2.8752E-03    2.8757E-03    2.8590E-03
6.6772E-01    2.8722E-03    2.8713E-03    2.8733E-03    2.8739E-03    2.8580E-03
6.7039E-01    2.8707E-03    2.8699E-03    2.8718E-03    2.8724E-03    2.8571E-03
6.7307E-01    2.8704E-03    2.8695E-03    2.8714E-03    2.8721E-03    2.8569E-03
6.7576E-01    2.8703E-03    2.8695E-03    2.8714E-03    2.8720E-03    2.8569E-03
6.7847E-01    2.8709E-03    2.8701E-03    2.8720E-03    2.8726E-03    2.8572E-03
6.8118E-01    2.8733E-03    2.8724E-03    2.8744E-03    2.8749E-03    2.8586E-03
6.8390E-01    2.8754E-03    2.8743E-03    2.8764E-03    2.8769E-03    2.8599E-03
6.8664E-01    2.8746E-03    2.8736E-03    2.8756E-03    2.8761E-03    2.8594E-03
6.8938E-01    2.8725E-03    2.8716E-03    2.8735E-03    2.8740E-03    2.8582E-03
6.9214E-01    2.8823E-03    2.8809E-03    2.8833E-03    2.8835E-03    2.8641E-03
6.9491E-01    2.8886E-03    2.8871E-03    2.8897E-03    2.8898E-03    2.8679E-03
6.9769E-01    2.8826E-03    2.8812E-03    2.8836E-03    2.8838E-03    2.8642E-03
7.0047E-01    2.8864E-03    2.8849E-03    2.8875E-03    2.8876E-03    2.8665E-03
7.0328E-01    2.8849E-03    2.8835E-03    2.8860E-03    2.8861E-03    2.8657E-03
7.0609E-01    2.8870E-03    2.8855E-03    2.8881E-03    2.8882E-03    2.8669E-03
7.0891E-01    2.8805E-03    2.8792E-03    2.8815E-03    2.8817E-03    2.8631E-03
7.1175E-01    2.8807E-03    2.8794E-03    2.8817E-03    2.8819E-03    2.8632E-03
7.1459E-01    2.8847E-03    2.8833E-03    2.8858E-03    2.8859E-03    2.8656E-03
